no,koglType,name,desc,menu,restSample,ajaxSample,manual,menuLinks
97,유형3,농업기계 사고사례,농업기계 사고사례,사고사례,,http://api.nongsaro.go.kr/sample/ajax/agriAccident/agriAccident.html,https://www.nongsaro.go.kr/portal/apiManual/agriAccident.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00456
96,유형3,농업기계 안전 홍보,농업기계 안전 홍보 정보를 제공.,시청각자료,,http://api.nongsaro.go.kr/sample/ajax/agriMachSafePRInfo/agriMachSafePRInfo.html,https://www.nongsaro.go.kr/portal/apiManual/agriMachSafePRInfo.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00253&sCntntsTyCode=093001&tabAt=ANI&tabAt=239001
95,유형3,농업기술 더하기 나누기,농업기술 더하기 나누기 정보를 제공.,농업기술더하기나누기,,http://api.nongsaro.go.kr/sample/ajax/mlrdCuration/mlrdCuration.html,https://www.nongsaro.go.kr/portal/apiManual/mlrdCuration.zip,https://nongsaro.go.kr/portal/ps/psx/psxa/mlrdCurationMain.ps?menuId=PS03974
94,유형3,농업기술동영상,"작물, 축산, 곤충, 농업재해예방, 농업경영 등 농사로에서 서비스하는 동영상 섬네일이미지 및 제목, 출처 정보를 제공.",농업기술동영상,http://api.nongsaro.go.kr/sample/rest/agriTechVideo/agriTechVideo.jsp,http://api.nongsaro.go.kr/sample/ajax/agriTechVideo/agriTechVideo.html,https://www.nongsaro.go.kr/portal/apiManual/agriTechVideo.zip,https://nongsaro.go.kr/portal/ps/psb/psbo/farmngTchnlgyMvpLst.ps?menuId=PS00069&pageUnit=9
93,유형1,농업용어사전,"검색어를 입력 및 검색 결과 정보로 검색어 일치항목, 검색어 전방일치항목, 시소러스정보를 제공.",농업용어사전,http://api.nongsaro.go.kr/sample/rest/farmDic/farmDic.jsp,http://api.nongsaro.go.kr/sample/ajax/farmDic/farmDic.html,https://www.nongsaro.go.kr/portal/apiManual/farmDic.zip,https://nongsaro.go.kr/portal/ps/psq/psqb/farmTermSimpleDicLst.ps?menuId=PS00064
92,유형1,농자재관련법령,농자재 관련법령 정보를 제공.,농촌진흥청 대표홈페이지,,http://api.nongsaro.go.kr/sample/ajax/farmToolLaw/farmToolLaw.html,https://www.nongsaro.go.kr/portal/apiManual/farmToolLaw.zip,http://www.rda.go.kr/board/board.do?mode=list&prgId=law_rdalwEntry
91,유형3,농작물재해예방정보,농작물재해예방 정보를 제공.,농작물재해예방정보,,http://api.nongsaro.go.kr/sample/ajax/frcDsstrPrevnt/frcDsstrPrevnt.html,https://www.nongsaro.go.kr/portal/apiManual/frcDsstrPrevnt.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00074
90,유형3,농작업 안전교육,농작업 안전교육 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/farmWorkSafetyEducation/farmWorkSafetyEducation.html,https://www.nongsaro.go.kr/portal/apiManual/farmWorkSafetyEducation.zip,
89,유형3,농작업일정 정보,"작물에 대한 농작물 관리, 병해충 방제요령 등의 주간농사정보 및 첨부파일 다운로드 기능을 제공.",농작업일정,http://api.nongsaro.go.kr/sample/rest/farmWorkingPlanNew/farmWorkingPlanNew.jsp,http://api.nongsaro.go.kr/sample/ajax/farmWorkingPlanNew/farmWorkingPlanNew.html,https://www.nongsaro.go.kr/portal/apiManual/farmWorkingPlanNew.zip,https://nongsaro.go.kr/portal/ps/psb/psbl/workScheduleLst.ps?menuId=PS00087&code=210004
88,유형3,농촌교육농장 정보,"전국의 농촌교육농장의 테마, 소재지 정보를 제공.",-,http://api.nongsaro.go.kr/sample/rest/fmlgEdcFarmm/fmlgEdcFarmm.jsp,http://api.nongsaro.go.kr/sample/ajax/fmlgEdcFarmm/fmlgEdcFarmm.html,https://www.nongsaro.go.kr/portal/apiManual/fmlgEdcFarmm.zip,
87,유형3,농촌다움 100선,농촌다움 100선의 정보를 제공.,농촌다움100선,,http://api.nongsaro.go.kr/sample/ajax/farmAmenity100/farmAmenity100.html,https://www.nongsaro.go.kr/portal/apiManual/farmAmenity100.zip,https://nongsaro.go.kr/portal/ps/psj/psjb/farmDaum100ViewLst.ps?menuId=PS00163&sResrceClCode=222001
86,유형3,농촌다움자원검색,농촌다움자원검색 정보를 제공.,농촌다움자원검색,,http://api.nongsaro.go.kr/sample/ajax/farmAmenityResourceSearch/farmAmenityResourceSearch.html,https://www.nongsaro.go.kr/portal/apiManual/farmAmenityResourceSearch.zip,https://nongsaro.go.kr/portal/ps/psj/psjc/farmSearchLst.ps?menuId=PS00164&sResrceCl=227010&pageIndex=1&pageSize=10
85,유형2,농촌문화 연구성과,농촌문화 연구성과,농촌문화 연구성과,,http://api.nongsaro.go.kr/sample/ajax/ruralCultureRsrchRslt/ruralCultureRsrchRsltLst.html,https://www.nongsaro.go.kr/portal/apiManual/ruralCultureRsrchRslt.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS65273&pageUnit=6&sGnCode=672001
84,유형3,농촌문화 이슈,"전국의 농촌교육농장의 테마, 소재지 정보를 제공.",농촌문화 이슈,,http://api.nongsaro.go.kr/sample/ajax/ruralCultureIssue/ruralCultureIssue.html,https://www.nongsaro.go.kr/portal/apiManual/ruralCultureIssue.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS65274
83,유형2,농촌진흥청 AI학습용이미지 양돈,농촌진흥청 AI학습용이미지 양돈 CSV 파일을 제공,공공데이터 포털,,,https://smartfarm.rda.go.kr/download/pig.zip,https://www.data.go.kr/data/15098116/fileData.do
82,유형2,농촌진흥청 AI학습용이미지 한우,농촌진흥청 AI학습용이미지 한우 CSV 파일을 제공,공공데이터 포털,,,https://smartfarm.rda.go.kr/download/cow.zip,https://www.data.go.kr/data/15098115/fileData.do
81,유형3,농축산물소득정보,2013년도 까지의 시군구별 농축산물 소득정보를 년도별로 제공.,2013년이전소득정보,http://api.nongsaro.go.kr/sample/rest/farmPrdtIncome/farmPrdtIncome.jsp,http://api.nongsaro.go.kr/sample/ajax/farmPrdtIncome/farmPrdtIncome.html,https://www.nongsaro.go.kr/portal/apiManual/farmPrdtIncome.zip,https://nongsaro.go.kr/portal/ps/psb/psbf/frmprdIncomeInfo.ps?menuId=PS03618&sYear=2013
80,유형3,반려동물 사료정보,생활문화 > 반려동물 집밥 만들기 메뉴에서 사용하는 원료 정보를 제공.,-,http://api.nongsaro.go.kr/sample/rest/feedRawMaterial/feedRawMaterial.jsp,http://api.nongsaro.go.kr/sample/ajax/feedRawMaterial/feedRawMaterial.html,https://www.nongsaro.go.kr/portal/apiManual/feedRawMaterial.zip,
79,유형3,별미 김치 30선,별미 김치 30선 정보를 제공.,국립농업과학원 농식품올바로,,http://api.nongsaro.go.kr/sample/ajax/delicacyKimchi30/delicacyKimchi30.html,https://www.nongsaro.go.kr/portal/apiManual/delicacyKimchi30.zip,http://koreanfood.rda.go.kr/kfi/kimchi/delicacyKimchi?menuId=PS04074
78,유형3,병해충발생정보,"농촌진흥청에서 제공하는 병해충발생정보 제목 및 작성자, 등록일, 조회수, 첨부파일 다운로드 기능을 제공.",병해충 발생정보,http://api.nongsaro.go.kr/sample/rest/dbyhsCccrrncInfo/dbyhsCccrrncInfo.jsp,http://api.nongsaro.go.kr/sample/ajax/dbyhsCccrrncInfo/dbyhsCccrrncInfo.html,https://www.nongsaro.go.kr/portal/apiManual/dbyhsCccrrncInfo.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS00200
77,유형3,분류군별경제곤충검색,분류군별경제곤충 검색을 제공.,분류군별경제곤충,,http://api.nongsaro.go.kr/sample/ajax/clgruppEcnmyInsectSrch/clgruppEcnmyInsectSrch.html,https://www.nongsaro.go.kr/portal/apiManual/clgruppEcnmyInsectSrch.zip,https://nongsaro.go.kr/portal/ps/psw/pswd/pswda/clgruppEcnmyInsectMain.ps?menuId=PS03778
76,유형3,비료 품질검사,비료 품질검사,품질검사,,http://api.nongsaro.go.kr/sample/ajax/frtlzrQltinsp/frtlzrQltinsp.html,https://www.nongsaro.go.kr/portal/apiManual/frtlzrQltinsp.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS04003&bbsId=27
75,유형3,사료 직거래장터,사료 직거래 장터 정보를 제공.,-,,http://api.nongsaro.go.kr/sample/ajax/directDelng/directDelng.html,https://www.nongsaro.go.kr/portal/apiManual/directDelng.zip,
74,유형2,사진마당 원화 정보,사진마당 원화 정보,농촌진흥청 대표홈페이지,,http://api.nongsaro.go.kr/sample/ajax/rdaOriginalPhotoInfo/rdaOriginalPhotoInfo.html,https://www.nongsaro.go.kr/portal/apiManual/rdaOriginalPhotoInfo.zip,https://www.rda.go.kr/ptoPtoFrmPrmnList.do?prgId=pto_farmprmnptoEntry
73,유형3,수출농업 동향자료,수출농업 동향자료,동향자료,,http://api.nongsaro.go.kr/sample/ajax/prdlstImxprtTrend/prdlstImxprtTrend.html,https://www.nongsaro.go.kr/portal/apiManual/prdlstImxprtTrend.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS04207
72,유형3,수출농업 발간도서,수출농업 발간도서 정보를 제공.,기타자료,,http://api.nongsaro.go.kr/sample/ajax/exportPublicationBook/exportPublicationBook.html,https://www.nongsaro.go.kr/portal/apiManual/exportPublicationBook.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS04005
71,유형3,수출농업 종합컨설팅,수출농업에 대한 종합적인 컨설팅 정보를 제공.,종합컨설팅,,http://api.nongsaro.go.kr/sample/ajax/exportConsulting/exportConsulting.html,https://www.nongsaro.go.kr/portal/apiManual/exportConsulting.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS04340
70,유형3,수출자료 Zoom-In,수출농업 기타자료실 정보를 제공.,농수산식품수출Zoom-In,,http://api.nongsaro.go.kr/sample/ajax/exportDataZoomIn/exportDataZoomIn.html,https://www.nongsaro.go.kr/portal/apiManual/exportDataZoomIn.zip,https://nongsaro.go.kr/portal/ps/psz/psza/contentMain.ps?menuId=PS02758
