source,name,desc,url,provider,type
KADX 농식품 공공데이터,품목별농작물정보,농림축산식품부에서는 품목별농작물정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002955,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,품목정보 이행점검조사정보,농림축산식품부에서는 품목정보 이행점검조사정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002956,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,피해보전지침기준및신청상세현장점검첨부정보,"농림축산식품부에서 제공하는 피해보전지침기준및신청상세현장점검첨부정보로 사업년도,지침기준일련번호,사업시행지침일자송아지인정시작일자,송아지인정종료일자,첨부파일일련번호,등록일시,수정일시등의 정보를 제공합니다. 본 제공자료는 피해보전지침기준에 대한 현장점검을 통해 사업지원금액 신청건에 대하여 환수조치를 진행한 내용을 보여주는 데이터입니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002957,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,후계자_관리_추진_실적,"농림축산식품부에서 제공하는 후계자 관리 추진 실적 정보에 대한 데이터로 사업연도, 사업추진경지, 사업추진시설 등의 통계 정보를 제공합니다",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002958,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,후계자_관리_포상_자격증,"농림축산식품부에서 제공하는 후계자 관리 포상 자격증 정보에 대한 데이터로 포상자격증, 선정연도 등의 통계 정보를 제공합니다",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002959,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,한우_송아지피해보전직불지원현황정보,농림축산식품부에서는 한우_송아지피해보전직불지원현황정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002960,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,행정처분정보,농림축산식품부에서는 행정처분정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002961,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,후계농 지원사업 선정현황정보,농림축산식품부에서는 후계농 지원사업 선정현황정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002962,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,농지폐경사유정보,"농림축산식품부에서는 농지폐경사유정보정보를 제공합니다. 본 정보 제공 데이터는 사업년도, 농지일련번호, 대장구분, 본번, 부번, 폐경사유일련번호, 경영체폐경면적, 폐경사유, 폐경사유비고등의 정보를 포함하고 있습니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002963,농림수산식품교육문화정보원,OpenAPI product
KADX 농식품 공공데이터,조사료 유통업체 현황 정보,농림축산식품부에서는 조사료 유통업체 현황 정보를 제공합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20251114000000002915,농림수산식품교육문화정보원,OpenAPI product
