title,desc,url,provider,updated,views,useCount,keywords
행정안전부_식품_축산가공업 조회서비스,"식품_축산가공업 데이터는 식육, 알, 원유 등을 가공하여 소시지, 전란분, 우유 등으로 판매하는 업소정보 데이터로 인허가일자, 영업상태, 사업장명, 소재지주소 등의 데이터를 제공합니다",https://www.data.go.kr/data/15154842/openapi.do,행정안전부,2026-04-16,291,53,
행정안전부_식품_축산판매업 조회서비스,"식품_축산판매업 데이터는 달걀, 유제품, 내장 또는 소고기, 돼지고기와 같은 축산물을 판매하는 업소정보 데이터로 인허가일자, 영업상태, 사업장명, 소재지주소 등의 데이터를 제공합니다",https://www.data.go.kr/data/15154871/openapi.do,행정안전부,2026-04-15,503,57,
농림축산식품부 농림축산검역본부_축산차량통계,"지자체에서 농가 등 축산관계시설에 출입하는 축산 차량을 등록하고, 등록된 축산 차량유형 별 통계를 조회 할 수 있도록 API 서비스를 제공합니다.",https://www.data.go.kr/data/15102820/openapi.do,농림축산식품부 농림축산검역본부,2024-07-08,1862,168,
식품의약품안전처_식품첨가물의 한시적 기준 및 규격 인정 현황,식품의약품안전처에서 관리하는식품위생법에 따른 식품첨가물 관련 한시적 기준규격 인정 현황 정보 자료입니다.,https://www.data.go.kr/data/15058631/openapi.do,식품의약품안전처,2025-08-27,4071,580,
기후에너지환경부_맞춤형 물환경정보(축산계 오염원 분포현황),"물환경보전법 제23조 및 같은법 시행규칙 제32조에 의해 매년 시도지사는 관할구역의 오염원 종류, 수질오염원 발생량 등을 조사하며, 생활계, 축산계, 산업계, 양식계, 토지계, 매립계",https://www.data.go.kr/data/15111641/openapi.do,기후에너지환경부,2026-04-08,1828,289,
식품의약품안전처_어린이 기호식품 품질 인증대장,식품의약품안전처에서 관리하는 어린이 식생활안전관리 특별법에 따른 어린이 기호식품 품질 인증대장 자료입니다.,https://www.data.go.kr/data/15057728/openapi.do,식품의약품안전처,2025-08-27,3405,443,
농림축산식품부_스마트팜 데이터 마트 축산 빅데이터 제공 서비스,"또한 낙농 활동 전반에 대한 품질 개선 및 효율성 평가를 지원하며, 축산 현장 의사결정 자료로 활용할 수 있습니다.",https://www.data.go.kr/data/15121328/openapi.do,농림축산식품부,2025-07-09,2554,229,
식품의약품안전처_어린이 식품안전보호구역 관리 현황,어린이 식품안전보호구역 관리 현황 관련 정보입니다.,https://www.data.go.kr/data/15064913/openapi.do,식품의약품안전처,2025-08-27,3180,481,
경기도_식품판매업 현황,"이 데이터는 식품 위생법 시행령에 따라 경기도 내 식품판매업(식용얼음판매업, 유통전문판매업, 기타식품판매업)을 통합하여 제공하는 인허가 현황 데이터입니다.",https://www.data.go.kr/data/15056514/openapi.do,경기도,2025-07-23,3907,273,
농촌진흥청_축산환경자가진단,"돼지, 젖소·한우, 닭 등 주요 축종별로 필요한 축산환경 심사 기준을 한눈에 확인하고, 누구나 쉽게 참여할 수 있는 자가진단 서비스를 제공합니다.",https://www.data.go.kr/data/15086484/openapi.do,농촌진흥청,,3038,121,
식품의약품안전처_건강기능식품,식품의약품안전처 「건강기능식품 정보」 OpenAPI는 국내에서 보고·허가된 건강기능식품(먹는 콜라겐)의 기본 현황을 조회할 수 있는 공공데이터입니다.,https://www.data.go.kr/data/15043011/openapi.do,식품의약품안전처,2025-09-19,13153,237,
식품의약품안전처_해외 위해식품 회수정보,"해외 국가기관에서 발표한 위해식품 회수정보에 대한 속성정보로 제공하고 있으며 본문내용에는 해당국가, 기관, 정보출처, 국내수입여부 등의 정보들이 포함되어 있습니다.",https://www.data.go.kr/data/15077772/openapi.do,식품의약품안전처,2025-08-27,1695,304,
경기도_식품소분업 현황,"이 데이터는 경기도 내 31개 시군에 등록된 식품소분업체의 인허가 현황으로, 완제품 식품을 소단위로 분할하여 별도로 포장하는 업체 정보를 포함합니다.",https://www.data.go.kr/data/15058196/openapi.do,경기도,2025-07-24,3415,265,
한국농수산식품유통공사_식품 원료별 사용량(총/국산/수입),"국내 식품제조업체에서 사용하는 식품 원료(농산물, 식품소재)별 사용량 및 국산, 수입원료 사용량 데이터를 제공합니다.",https://www.data.go.kr/data/15109105/openapi.do,한국농수산식품유통공사,2022-12-06,8706,335,
식품의약품안전처_바코드연계제품정보,"품목보고(신고)번호 , 보고(신고일) , 생산중단일 , 제품명 , 소비기한 , 식품 유형 , 제조사명 , 업종 , 주소 , 폐업일자 , 유통바코드의 속성정보를 제공합니다.",https://www.data.go.kr/data/15060549/openapi.do,식품의약품안전처,2025-08-26,21092,8344,
식품의약품안전처_검사 부적합 식품정보,식품의약품안전처의 「검사 부적합 식품정보」 OpenAPI는 검사 기준에 부적합 판정을 받은 식품의 상세 정보를 제공합니다.,https://www.data.go.kr/data/15056516/openapi.do,식품의약품안전처,2025-09-22,6218,284,
