title,desc,url,provider,type,cycle,dataId,registered,updated
돼지 권역별 경락가격 현황,"축산물(소·돼지)에 대한 등급판정 결과, 고기 및 부산물 정보, 도매시장 정보, 경매 현황, 도페, 육질/육량 경락가격정보, 권역별 경략가격정보 등 축산물 등급 판정 및 경매에 관한 전반적인 정보 서비스를 제공함",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220215000000001933,축산물품질평가원,링크,수시,20220215000000001933,2022-07-13,2022-07-13
축산물 돼지도체 경락가격 상세정보,"축산물(소·돼지)에 대한 등급판정 결과, 고기 및 부산물 정보, 도매시장 정보, 경매 현황, 도페, 육질/육량 경락가격정보, 권역별 경략가격정보 등 축산물 등급 판정 및 경매에 관한 전반적인 정보 서비스를 제공함",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220215000000001931,축산물품질평가원,링크,수시,20220215000000001931,2022-07-13,2022-07-13
축산물 소도체 육질등급별 경락가격정보,"축산물(소·돼지)에 대한 등급판정 결과, 고기 및 부산물 정보, 도매시장 정보, 경매 현황, 도페, 육질/육량 경락가격정보, 권역별 경략가격정보 등 축산물 등급 판정 및 경매에 관한 전반적인 정보 서비스를 제공함",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220215000000001928,축산물품질평가원,링크,수시,20220215000000001928,2022-07-13,2022-07-13
돼지 등급판정결과(확인서)정보,"축산물(소·돼지)에 대한 등급판정 결과, 고기 및 부산물 정보, 도매시장 정보, 경매 현황, 도페, 육질/육량 경락가격정보, 권역별 경략가격정보 등 축산물 등급 판정 및 경매에 관한 전반적인 정보 서비스를 제공함",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220215000000001915,축산물품질평가원,링크,수시,20220215000000001915,2022-07-13,2022-07-13
차·전통주·김치 전문인력 양성 및 교육훈련기관 지정 현황,차·전통주·김치 전문인력 양성 및 교육훈련기관 지정 현황,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220711000000002152,국립농산물품질관리원,파일,년간,20220711000000002152,2022-07-11,2024-06-07
공익직불금 연령별 지급금액,공익직불금 연령별 지급금액,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220630000000002133,농림축산식품부,파일,년간,20220630000000002133,2022-06-30,2024-06-25
공익직불금 시도별 지급현황,공익직불금 시도별 지급면적,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220630000000002131,농림축산식품부,파일,주기없음,20220630000000002131,2022-06-30,2024-06-25
공익직불금 면적별 지급현황,공익직불금 면적별 지급면적,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220630000000002132,농림축산식품부,파일,년간,20220630000000002132,2022-06-30,2024-06-25
공익직불금 지급 데이터,공익직불금 지급 데이터,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220630000000002130,농림축산식품부,파일,년간,20220630000000002130,2022-06-30,2024-06-25
귀농귀촌 우수사례집,촌에 살고 촌에 웃고(귀농귀촌 20인의 우수사례이야기),https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220701000000002134,농림축산식품부,파일,년간,20220701000000002134,2022-06-30,2022-06-30
귀농귀촌 실태조사 결과보고서,"귀농귀촌 형태, 귀농귀촌 이유, 거주 지역 선택 이유 등",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220701000000002135,농림축산식품부,파일,년간,20220701000000002135,2022-06-30,2025-07-01
농림축산식품부_농림축산식품사업 시행지침서,"연도별 농림축삭식품분야 사업시행지침서로 사업명, 분야, 신청자격, 자금유형, 담당기관 등의 데이터를 제공합니다.",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220628000000002121,농림축산식품부,파일,주기없음,20220628000000002121,2022-06-28,2024-06-27
농림축산식품분야 보조금 현황,농림축산식품분야 보조금 현황을 공개합니다.,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220628000000002124,농림축산식품부,파일,주기없음,20220628000000002124,2022-06-28,2023-07-19
농림축산식품부_농축산물 품목분류(HSK) 및 관세율,"HSK(관세,통계통합 품목분류표) 중 농축산물의 세번별 세율(기본세율, 양허관세, 시장접근세율 등), 관세율 및 HS 개요 등이 정리된 데이터",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220627000000002117,농림축산식품부,파일,주기없음,20220627000000002117,2022-06-27,2023-07-28
야생조류 고병원성 조류인플루엔자 발생현황,야생조류 고병원성 조류인플루엔자 발생현황 공개,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220620000000002110,농림축산식품부,링크,수시,20220620000000002110,2022-06-20,2023-08-07
농산물 안전성 검사기관 지정 현황,"국립농산물품질관리원에서 관리하는 안전성 검사기관 지정현황(지정번호, 지정일자, 기관명, 검사기관 소재지, 업무범위, 유해물질항목)",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20181019000000000980,국립농산물품질관리원,파일,년간,20181019000000000980,2022-06-13,2024-06-07
원산지표시 업태별 적발현황,"국립농산물품질관리원에서 관리하는 농축산물 원산지표시 업태별 적발현황(연도, 업종, 거짓표시 적발실적, 미표시 적발실적)",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220613000000002102,국립농산물품질관리원,파일,년간,20220613000000002102,2022-06-13,2024-06-07
원산지 인증정보,"국립농산물품질관리원에서 관리하는 농산물 원산지 인증정보(인증번호, 최초인증일, 인증유효기간, 인증업체명, 제품명, 원산지, 비율, 인증기관)",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220609000000002101,국립농산물품질관리원,파일,반기,20220609000000002101,2022-06-09,2024-06-07
사료검정 정보,"사료의 품질 및 안전관리를 위한 일반성분, 유해성분 등 검정 정보(유해물질, 동물약품, 농약, 일반성분, 광물질, 보조제, 미생물, 기타성분)",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220609000000002100,국립농산물품질관리원,파일,년간,20220609000000002100,2022-06-09,2024-06-07
한국농어촌공사_경지정리현황도(2009년),"2009년까지 조사된 예정지 및 기시행 일반,대구획경지정리현황도 (SHP파일)",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220524000000002098,한국농어촌공사,파일,주기없음,20220524000000002098,2022-05-23,2024-06-28
친환경 농산물 소매가격,친환경 농산물의 소매가격 제공,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220222000000002094,한국농수산식품유통공사,링크,일간,20220222000000002094,2022-02-22,2022-03-18
도매시장별 출하량 정보,도매시장별 출하량 정보 제공,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220222000000002093,한국농수산식품유통공사,링크,일간,20220222000000002093,2022-02-22,2022-03-18
제주도 당근 항공촬영 정보,팜맵을 기반으로 한 제주도 작목별 항공촬영 정보(이미지),https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220221000000002082,농림수산식품교육문화정보원,파일,주기없음,20220221000000002082,2022-02-21,2022-03-18
제주도 마늘 항공촬영 정보,팜맵을 기반으로 한 제주도 작목별 항공촬영 정보(이미지),https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220221000000002083,농림수산식품교육문화정보원,파일,주기없음,20220221000000002083,2022-02-21,2022-03-18
제주도 브로콜리 항공촬영 정보,팜맵을 기반으로 한 제주도 작목별 항공촬영 정보(이미지),https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220221000000002084,농림수산식품교육문화정보원,파일,주기없음,20220221000000002084,2022-02-21,2022-03-18
제주도 양파 항공촬영 정보,팜맵을 기반으로 한 제주도 작목별 항공촬영 정보(이미지),https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220221000000002085,농림수산식품교육문화정보원,파일,주기없음,20220221000000002085,2022-02-21,2022-03-18
제주도 감귤 항공촬영 정보,팜맵을 기반으로 한 제주도 작목별 항공촬영 정보(이미지),https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220221000000002081,농림수산식품교육문화정보원,파일,주기없음,20220221000000002081,2022-02-21,2022-03-18
농림축산식품부_종자산업법령집_2019,유전자변형생물체의 개발ㆍ생산ㆍ수입ㆍ수출ㆍ유통 등에 관한 안전성의 확보를 위하여 필요한 사항을 법령으로 정함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20191010000000001191,농림축산식품부,링크,년간,20191010000000001191,2022-02-17,2022-02-17
농림축산식품부_식물신품종 보호법령집(2013),유전자변형생물체의 개발ㆍ생산ㆍ수입ㆍ수출ㆍ유통 등에 관한 안전성의 확보를 위하여 필요한 사항을 법령으로 정함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20191010000000001192,농림축산식품부,링크,수시,20191010000000001192,2022-02-17,2022-02-17
시설채소 온실현황,"시도별 온실유형별(시설유형별, 규격시설별, 피복자재별 등)재배면적 현황",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220217000000002032,농림축산식품부,파일,년간,20220217000000002032,2022-02-17,2025-08-25
원산지표시 지역별 적발현황,"국립농산물품질관리원 원산지표시 지역별 적발현황(년도, 시도, 거짓표시 적발실적, 미표시 적발실적, 과태료)",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20191011000000001215,국립농산물품질관리원,파일,년간,20191011000000001215,2022-02-17,2024-06-07
농협별.유종별 면세유 공급량_2023년,농협별.유종별 면세유 공급량,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20240729000000002604,농림축산식품부,파일,년간,20240729000000002604,2022-02-17,2023-08-16
축종별 가축보험가입 통계정보,충판 및 전자북 제작(토론토)포함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220217000000002079,농림축산식품부,파일,년간,20220217000000002079,2022-02-17,2024-07-03
축종별 가축보험가입 통계정보,충판 및 전자북 제작(토론토)포함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20161213000000000667,농림축산식품부,OpenAPI,년간,20161213000000000667,2022-02-17,2024-07-03
품목별 농작물 보험금지급 통계정보,충판 및 전자북 제작(토론토)포함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220217000000002078,농림축산식품부,파일,년간,20220217000000002078,2022-02-17,2023-08-11
축종별 가축보험금지급 통계정보,충판 및 전자북 제작(토론토)포함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220217000000002077,농림축산식품부,파일,년간,20220217000000002077,2022-02-17,2024-07-03
축종별 가축보험금지급 통계정보,충판 및 전자북 제작(토론토)포함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20161213000000000668,농림축산식품부,OpenAPI,년간,20161213000000000668,2022-02-17,2024-07-03
품목별 농작물보험료 통계정보,충판 및 전자북 제작(토론토)포함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220217000000002076,농림축산식품부,파일,년간,20220217000000002076,2022-02-17,2023-08-11
품목별 농작물 보험가입 통계정보,충판 및 전자북 제작(토론토)포함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220217000000002074,농림축산식품부,파일,년간,20220217000000002074,2022-02-17,2023-08-11
시도별 농작물 보험가입 통계정보,충판 및 전자북 제작(토론토)포함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220217000000002073,농림축산식품부,파일,년간,20220217000000002073,2022-02-17,2023-08-11
시도별 농작물 보험금지급 통계정보,충판 및 전자북 제작(토론토)포함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220217000000002071,농림축산식품부,파일,년간,20220217000000002071,2022-02-17,2023-08-11
농촌관광사업 등급 정보 현황,"농촌체험휴양마을 및 농촌민박 사업자를 대상으로 경관 및 서비스, 체험, 숙박, 음식 4개 분야에 대한 심사를 통해 결정된등급 정보(민박은 경관 및 서비스, 숙박 2개 분야)",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20141127000000000364,농림축산식품부,OpenAPI,년간,20141127000000000364,2022-02-17,2025-09-30
년도별 농작물 보험금지급 통계정보,충판 및 전자북 제작(토론토)포함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220217000000002070,농림축산식품부,파일,년간,20220217000000002070,2022-02-17,2023-08-11
년도별 농작물보험료 통계정보,충판 및 전자북 제작(토론토)포함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220217000000002068,농림축산식품부,파일,년간,20220217000000002068,2022-02-17,2023-08-11
농축산물 FTA협정세율 현황,2014년 우리나라와 FTA를 체결한 나라(10개국)와의 협정세율 현황,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20141031000000000350,농림축산식품부,파일,년간,20141031000000000350,2022-02-17,2025-07-01
시도별 농작물보험료 통계정보,충판 및 전자북 제작(토론토)포함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220217000000002066,농림축산식품부,파일,년간,20220217000000002066,2022-02-17,2023-08-11
농축산물 관세율 현황,우리나라 농축산물의 WTO 양허관세율과 기본세율 자료,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220217000000002067,농림축산식품부,파일,년간,20220217000000002067,2022-02-17,2023-08-25
년도별 농작물 보험가입 통계정보,충판 및 전자북 제작(토론토)포함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220217000000002064,농림축산식품부,파일,년간,20220217000000002064,2022-02-17,2023-08-11
시도별 사고원인 가축보험금지급 통계정보,충판 및 전자북 제작(토론토)포함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220217000000002063,농림축산식품부,파일,년간,20220217000000002063,2022-02-17,2024-07-03
시도별 사고원인 가축보험금지급 통계정보,충판 및 전자북 제작(토론토)포함,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20161213000000000663,농림축산식품부,OpenAPI,년간,20161213000000000663,2022-02-17,2024-07-03
컨설팅 분야별 지원현황,"농업경영컨설팅 지원현황(지원대상별, 컨설팅분야별)",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220217000000002062,농림축산식품부,파일,년간,20220217000000002062,2022-02-17,2022-02-17
지역별 가축 사육현황,"농업경영체 지역별, 소재지별, 품목별 현황 등을 제공",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20201030000000001404,농림축산식품부,링크,주기없음,20201030000000001404,2022-02-17,2022-02-17
벼 재배면적 규모별 현황,"농업경영체 지역별, 소재지별, 품목별 현황 등을 제공",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20201030000000001407,농림축산식품부,링크,주기없음,20201030000000001407,2022-02-17,2022-02-17
시군별 실제 지목 통계,"농업경영체 지역별, 소재지별, 품목별 현황 등을 제공",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20201030000000001409,농림축산식품부,링크,주기없음,20201030000000001409,2022-02-17,2022-02-17
면적별 농가수,"농업경영체 지역별, 소재지별, 품목별 현황 등을 제공",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20201030000000001408,농림축산식품부,링크,주기없음,20201030000000001408,2022-02-17,2022-02-17
논이모작 품목별 신청 지급 현황,"농업경영체 지역별, 소재지별, 품목별 현황 등을 제공",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20201030000000001406,농림축산식품부,링크,주기없음,20201030000000001406,2022-02-17,2024-06-25
지역별 곤충 사육현황,"농업경영체 지역별, 소재지별, 품목별 현황 등을 제공",https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20201030000000001405,농림축산식품부,링크,주기없음,20201030000000001405,2022-02-17,2022-02-17
농축산물 특별긴급관세(SSG) 품목현황,UR 이행계획서상의 특별긴급관세 품목현황 : 관세상당치(TE)로 개방한 품목한 국내 농축산물에 피해를 줄 우려가 있는 경우 WTO에 양허한 세율을 초과하여 관세를 부과할 수 있는 품목현황,https://data.mafra.go.kr/opendata/data/indexOpenDataDetail.do?data_id=20220217000000002058,농림축산식품부,파일,년간,20220217000000002058,2022-02-17,2023-08-25
